Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy,,,
3,16,16,3122,3073,4,3073,768,562,321,0,175.078,,,Column 1
4,14,14,3096,2930,4,2930,732,558,320,0,174.375,,Mean,187.54015
19,15,14,3058,2927,5,2927,585,567,307,0,184.691,,Standard Error,2.01708751248584
24,18,16,3046,2934,4,2934,733,570,306,0,186.275,,Mode,#VALUE!
26,12,12,3019,2942,4,2942,735,542,303,0,178.878,,Median,190.294
30,13,13,3034,2952,4,2952,738,540,298,0,181.208,,First Quartile ,178.95675
31,13,13,3054,2999,4,2999,749,528,295,0,178.983,,Third Quartile,192.741
32,13,13,3054,3000,4,3000,750,527,302,0,174.503,,Variance,81.3728406605263
33,13,12,3019,2936,4,2936,734,529,299,0,176.923,,Standard Deviation,9.02068958896859
39,17,15,3065,2915,4,2915,728,554,291,0,190.378,,Kurtosis,-1.16216686533369
40,16,16,2983,2908,4,2908,727,551,287,0,191.986,,Skewness,-0.0497574952368
53,16,16,3003,2834,4,2834,708,541,283,-1,191.166,,Range,28.152
54,14,14,2963,2774,6,2774,462,567,284,0,199.648,,Minimum,174.375
55,14,14,2959,2874,4,2874,718,544,286,0,190.21,,Maximum,202.527
56,14,14,2959,2874,4,2874,718,544,283,0,192.226,,Sum,3750.803
63,17,17,2964,2935,4,2935,733,544,280,0,194.286,,Count,20
64,16,16,2956,2921,4,2921,730,532,278,0,191.367,,,
65,18,18,2971,2939,4,2939,734,561,277,0,202.527,,,
68,16,16,2891,2817,4,2817,704,547,280,0,195.357,,,
78,14,14,2601,2587,4,2587,646,544,271,0,200.738,,,
