Frame #,Box Est.,Actual, Accuracy
1,16,12,133.333
2,11,10,110
3,11,10,110
4,9,9,100
5,12,9,133.333
6,10,9,111.111
7,8,11,72.7273
8,11,11,100
9,12,9,133.333
10,12,9,133.333
11,9,9,100
12,9,10,90
13,9,9,100
14,14,12,116.667
15,17,12,141.667
16,18,11,163.636
17,13,10,130
18,12,12,100
19,10,10,100
20,16,11,145.455
21,12,17,70.5882
22,13,10,130
23,11,11,100
24,13,11,118.182
25,13,12,108.333
26,11,12,91.6667
27,15,13,115.385
28,13,13,100
29,12,13,92.3077
30,12,14,85.7143
31,11,13,84.6154
32,13,13,100
33,11,13,84.6154
34,12,13,92.3077
35,13,13,100
36,16,13,123.077
37,13,14,92.8571
38,16,13,123.077
39,14,13,107.692
40,14,13,107.692
41,15,13,115.385
42,13,13,100
43,12,13,92.3077
44,15,13,115.385
45,16,13,123.077
46,15,13,115.385
47,14,14,100
48,14,14,100
49,18,14,128.571
50,20,14,142.857
51,17,14,121.429
52,17,14,121.429
53,15,13,115.385
54,20,13,153.846
55,15,13,115.385
56,16,14,114.286
57,16,13,123.077
58,14,14,100
59,15,14,107.143
60,16,17,94.1176
61,13,16,81.25
62,17,16,106.25
63,14,17,82.3529
64,15,17,88.2353
65,15,17,88.2353
66,15,17,88.2353
67,15,17,88.2353
68,16,18,88.8889
69,17,17,100
70,20,18,111.111
71,20,18,111.111
72,17,17,100
73,19,17,111.765
74,18,17,105.882
75,18,18,100
76,22,18,122.222
77,23,18,127.778
78,18,18,100
79,23,17,135.294
80,21,17,123.529
81,17,16,106.25
82,17,16,106.25
83,17,16,106.25
84,16,16,100
85,17,16,106.25
86,16,16,100
87,17,16,106.25
88,19,16,118.75
89,16,16,100
90,20,16,125
91,17,16,106.25
92,15,16,93.75
93,16,16,100
94,15,16,93.75
95,18,16,112.5
96,17,16,106.25
97,17,16,106.25
98,18,17,105.882
99,18,16,112.5
100,16,16,100
101,16,16,100
102,18,16,112.5
103,17,16,106.25
104,16,19,84.2105
105,21,17,123.529
106,21,17,123.529
107,14,18,77.7778
108,20,24,83.3333
109,20,19,105.263
110,20,19,105.263
111,11,19,57.8947
112,16,19,84.2105
113,19,18,105.556
114,17,17,100
115,8,17,47.0588
116,17,16,106.25
117,18,16,112.5
118,15,17,88.2353
119,11,17,64.7059
120,12,17,70.5882
121,10,17,58.8235
