Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,17,6,219,49,6,49,8,26,8,4,325
2,19,12,223,80,6,80,13,40,9,2,444.444
3,16,8,225,70,5,70,14,33,9,2,366.667
4,11,7,213,101,6,101,16,38,9,4,422.222
5,16,7,226,60,5,60,12,12,9,0,133.333
6,12,10,204,48,9,48,5,21,9,2,233.333
7,5,5,215,207,3,207,69,49,8,0,612.5
8,7,2,242,3,3,3,1,2,9,4,22.2222
9,5,1,254,38,3,38,12,16,9,4,177.778
10,11,4,257,58,3,58,19,31,8,0,387.5
11,2,2,250,8,3,8,2,5,8,4,62.5
12,9,4,260,7,4,7,1,5,8,4,62.5
13,17,9,257,125,6,125,20,61,8,4,762.5
14,22,18,226,87,9,87,9,48,8,2,600
15,22,19,222,94,10,94,9,46,7,2,657.143
16,22,22,222,222,4,222,55,65,8,-2,812.5
17,23,12,231,54,7,54,7,31,8,2,387.5
18,21,20,249,230,3,230,76,77,8,0,962.5
19,22,10,263,30,9,30,3,15,7,4,214.286
20,21,12,259,31,10,31,3,15,7,4,214.286
21,14,5,266,44,7,44,6,15,8,2,187.5
22,9,7,236,28,6,28,4,17,8,2,212.5
23,9,4,214,57,4,57,14,38,8,4,475
24,12,5,215,46,4,46,11,40,8,4,500
25,13,9,233,91,7,91,13,38,7,2,542.857
26,22,12,271,37,8,37,4,14,7,4,200
27,20,13,271,93,5,93,18,42,7,4,600
28,13,8,284,113,5,113,22,46,7,2,657.143
29,8,5,292,111,3,111,37,59,7,4,842.857
30,13,5,275,14,3,14,4,6,7,2,85.7143
31,1,1,256,244,3,244,81,34,7,0,485.714
32,0,0,267,0,2,0,0,21,7,4,300
33,16,10,236,44,7,44,6,21,7,4,300
34,20,12,232,52,10,52,5,24,7,4,342.857
35,20,10,257,38,6,38,6,20,6,4,333.333
36,25,25,271,263,3,263,87,78,6,0,1300
37,23,23,316,307,3,307,102,80,6,0,1333.33
38,28,11,254,67,9,67,7,39,6,0,650
39,28,10,255,73,8,73,9,41,6,2,683.333
40,28,28,250,245,3,245,81,74,6,0,1233.33
41,14,9,259,202,3,202,67,80,6,0,1333.33
42,10,5,260,24,7,24,3,10,6,4,166.667
43,23,12,270,129,8,129,16,52,6,2,866.667
44,22,12,271,137,6,137,22,55,6,2,916.667
45,20,18,290,176,5,176,35,53,6,2,883.333
