Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,1,1,1719,1555,6,1555,259,636,432,0,147.222
2,1,1,1726,1512,13,1512,116,624,435,4,143.448
3,3,3,1720,1584,5,1584,316,763,442,0,172.624
4,2,2,1711,1469,8,1469,183,737,447,2,164.877
5,2,1,1702,338,28,338,12,231,444,4,52.027
6,2,2,1707,1641,4,1641,410,755,441,0,171.202
7,3,3,1690,1642,4,1642,410,781,443,0,176.298
8,2,2,1683,500,46,500,10,330,430,4,76.7442
9,3,3,1697,1470,10,1470,147,647,435,4,148.736
10,3,1,1759,592,59,592,10,397,432,4,91.8981
11,3,3,1786,685,46,685,14,404,414,4,97.5845
12,1,1,1803,607,54,607,11,399,431,4,92.5754
13,2,2,1752,671,46,671,14,428,429,4,99.7669
14,1,1,1810,670,46,670,14,421,425,4,99.0588
15,2,2,1800,741,44,741,16,458,426,4,107.512
16,1,1,1787,1729,5,1729,345,708,411,0,172.263
17,2,1,1786,701,37,701,18,427,409,4,104.401
18,1,1,1791,823,46,823,17,508,401,4,126.683
19,1,1,1841,664,52,664,12,421,416,4,101.202
20,2,1,1851,885,47,885,18,491,418,4,117.464
21,1,1,1859,756,45,756,16,445,408,4,109.069
22,1,1,1883,715,46,715,15,471,422,4,111.611
23,1,1,1884,838,47,838,17,511,418,4,122.249
24,1,1,1841,1826,4,1826,456,771,410,0,188.049
25,1,1,1884,740,60,740,12,444,416,4,106.731
26,1,1,1869,725,49,725,14,458,410,4,111.707
27,1,1,1878,1738,4,1738,434,780,409,0,190.709
28,1,1,1847,738,52,738,14,458,409,4,111.98
29,1,1,1861,874,36,874,24,512,397,4,128.967
30,1,1,1868,714,51,714,14,460,401,4,114.713
31,1,1,1893,1660,7,1660,237,751,401,0,187.282
32,1,1,1874,693,44,693,15,452,404,4,111.881
33,1,1,1934,782,57,782,13,432,395,4,109.367
34,1,1,1922,721,64,721,11,435,389,4,111.825
35,1,1,1894,622,53,622,11,373,390,4,95.641
36,1,1,1868,1748,4,1748,437,732,381,0,192.126
37,1,1,1832,1712,5,1712,342,764,378,0,202.116
38,1,1,1841,885,44,885,20,530,376,4,140.957
39,2,2,1860,848,48,848,17,503,371,4,135.58
40,2,2,1838,1828,4,1828,457,957,376,0,254.521
41,1,1,1857,811,51,811,15,471,366,4,128.689
42,1,1,1861,1849,4,1849,462,816,367,0,222.343
43,1,1,1774,867,47,867,18,519,359,4,144.568
44,1,1,1771,1729,4,1729,432,761,348,0,218.678
45,2,1,1714,504,41,504,12,318,343,4,92.7114
46,1,1,1745,604,46,604,13,370,351,4,105.413
47,1,1,1709,763,53,763,14,429,341,4,125.806
48,1,1,1677,894,37,894,24,514,329,4,156.231
49,2,1,1710,827,37,827,22,446,329,4,135.562
50,2,2,1650,1647,4,1647,411,968,329,0,294.225
51,1,1,1671,592,40,592,14,375,323,4,116.099
52,2,2,1650,727,45,727,16,408,318,4,128.302
53,2,2,1559,669,44,669,15,382,306,4,124.837
54,2,2,1579,771,48,771,16,420,304,4,138.158
55,2,2,1510,546,41,546,13,338,285,4,118.596
56,2,2,1462,752,40,752,18,410,288,4,142.361
57,2,2,1463,550,36,550,15,334,289,4,115.571
58,2,2,1406,750,41,750,18,387,281,4,137.722
59,2,2,1391,703,39,703,18,389,268,4,145.149
60,2,2,1356,708,48,708,14,339,257,4,131.907
61,2,2,1340,709,44,709,16,355,261,4,136.015
62,2,2,1325,641,38,641,16,347,262,4,132.443
63,2,2,1291,657,39,657,16,369,263,4,140.304
64,2,2,1285,439,31,439,14,264,251,4,105.179
65,2,2,1253,508,35,508,14,285,245,4,116.327
66,2,2,1247,1227,4,1227,306,531,242,0,219.421
67,2,2,1219,642,34,642,18,338,237,4,142.616
68,2,2,1202,540,37,540,14,295,228,4,129.386
69,2,2,1160,710,31,710,22,363,220,4,165
70,2,1,1141,317,27,317,11,203,224,4,90.625
71,2,2,1152,596,30,596,19,305,212,4,143.868
72,2,2,1104,521,32,521,16,284,200,4,142
73,2,2,1056,615,19,615,32,328,196,4,167.347
