Frame #,Box Est.,Actual, Accuracy
1,54,0,0
2,13,0,0
3,8,0,0
4,16,0,0
5,16,0,0
6,18,0,0
7,19,0,0
8,19,0,0
9,23,0,0
10,60,0,0
11,20,0,0
12,21,0,0
13,13,0,0
14,21,0,0
15,23,0,0
16,22,0,0
17,21,0,0
18,23,0,0
19,36,0,0
20,19,0,0
21,17,0,0
22,18,0,0
23,24,0,0
24,22,0,0
25,38,0,0
26,22,0,0
27,22,0,0
28,43,0,0
29,19,0,0
30,12,0,0
31,22,0,0
32,57,0,0
33,28,0,0
34,23,0,0
35,25,0,0
36,37,0,0
37,26,0,0
38,23,0,0
39,23,0,0
40,39,0,0
41,24,0,0
42,26,0,0
43,22,0,0
44,21,0,0
45,72,0,0
46,22,0,0
47,23,0,0
48,56,0,0
49,18,0,0
50,25,0,0
51,22,0,0
52,19,0,0
53,102,0,0
54,20,0,0
55,128,0,0
56,17,0,0
57,26,0,0
58,20,0,0
59,22,0,0
60,29,0,0
61,259,0,0
62,35,0,0
63,55,0,0
64,30,0,0
65,64,0,0
66,10,0,0
67,32,0,0
68,36,0,0
69,27,0,0
70,59,0,0
71,57,0,0
72,30,0,0
73,104,0,0
74,119,0,0
75,20,0,0
76,36,0,0
77,28,0,0
78,51,0,0
79,26,0,0
80,34,0,0
81,62,0,0
82,160,0,0
83,27,0,0
84,43,0,0
85,1,0,0
86,27,0,0
87,0,0,0
88,39,0,0
89,0,0,0
90,0,0,0
91,51,0,0
92,61,0,0
93,23,0,0
94,45,0,0
95,32,0,0
96,24,0,0
97,19,0,0
98,23,0,0
99,26,0,0
100,25,0,0
101,26,0,0
102,28,0,0
103,22,0,0
104,38,0,0
105,27,0,0
106,15,0,0
107,17,0,0
108,41,0,0
109,37,0,0
110,19,0,0
111,13,0,0
112,0,0,0
113,0,0,0
114,15,0,0
115,4,0,0
116,0,0,0
117,0,0,0
