Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,0,0,44,0,2,0,0,0,0,-2,0
2,0,0,41,0,2,0,0,0,0,-2,0
3,0,0,45,0,2,0,0,0,0,-2,0
4,0,0,47,0,2,0,0,0,0,-2,0
5,0,0,50,0,2,0,0,0,0,-2,0
6,0,0,43,0,2,0,0,0,0,-2,0
7,0,0,43,0,2,0,0,0,0,-2,0
8,0,0,41,0,2,0,0,0,0,-2,0
9,0,0,41,0,2,0,0,0,0,-2,0
10,0,0,43,0,2,0,0,0,0,-2,0
11,0,0,43,0,2,0,0,0,0,-2,0
12,0,0,41,0,2,0,0,0,0,-2,0
13,0,0,41,0,2,0,0,0,0,-2,0
14,0,0,41,0,2,0,0,0,0,-2,0
15,0,0,31,0,2,0,0,0,0,-2,0
16,0,0,31,0,2,0,0,0,0,-2,0
17,0,0,28,0,2,0,0,0,0,-2,0
18,0,0,34,0,2,0,0,0,0,-2,0
19,0,0,32,0,2,0,0,0,0,-2,0
20,0,0,35,0,2,0,0,0,0,-2,0
21,0,0,35,0,2,0,0,0,0,-2,0
22,0,0,36,0,2,0,0,0,0,-2,0
23,0,0,27,0,2,0,0,0,0,-2,0
24,0,0,30,0,2,0,0,0,0,-2,0
25,0,0,32,0,2,0,0,0,0,-2,0
26,0,0,32,0,2,0,0,0,0,-2,0
27,0,0,21,0,2,0,0,0,0,-2,0
28,0,0,19,0,2,0,0,0,0,-2,0
29,0,0,20,0,2,0,0,0,0,-2,0
30,0,0,21,0,2,0,0,0,0,-2,0
31,0,0,30,0,2,0,0,0,0,-2,0
32,0,0,28,0,2,0,0,0,0,-2,0
33,0,0,30,0,2,0,0,0,0,-2,0
34,0,0,20,0,2,0,0,0,0,-2,0
35,0,0,24,0,2,0,0,0,0,-2,0
36,0,0,25,0,2,0,0,0,0,-2,0
37,0,0,11,0,2,0,0,0,0,-2,0
38,0,0,71,0,2,0,0,0,0,-2,0
39,0,0,30,0,2,0,0,0,0,-2,0
40,14,7,41,23,4,23,5,14,0,0,0
41,0,0,32,0,2,0,0,0,0,-2,0
42,0,0,29,0,2,0,0,0,0,-2,0
43,0,0,29,0,2,0,0,0,0,-2,0
44,19,8,57,23,4,23,5,9,0,0,0
45,0,0,61,0,2,0,0,0,0,-2,0
46,0,0,52,0,2,0,0,0,0,-2,0
47,0,0,48,0,2,0,0,0,0,-2,0
48,0,0,72,0,2,0,0,0,0,-2,0
49,20,11,62,39,4,39,9,12,0,-2,0
50,0,0,62,0,2,0,0,0,0,-2,0
51,0,0,51,0,2,0,0,0,0,-2,0
52,0,0,51,0,2,0,0,0,0,-2,0
53,0,0,45,0,2,0,0,0,0,-2,0
54,0,0,45,0,2,0,0,0,0,-2,0
55,0,0,43,0,2,0,0,0,0,-2,0
56,0,0,47,0,2,0,0,0,0,-2,0
57,0,0,47,0,2,0,0,0,0,-2,0
58,0,0,35,0,2,0,0,0,0,-2,0
59,0,0,48,0,2,0,0,0,0,-2,0
60,0,0,49,0,2,0,0,0,0,-2,0
61,12,8,51,31,4,31,7,13,0,0,0
62,12,8,51,31,4,31,7,13,0,0,0
63,0,0,56,0,2,0,0,0,0,-2,0
64,0,0,53,0,2,0,0,0,0,-2,0
65,0,0,53,0,2,0,0,0,0,-2,0
66,0,0,49,0,2,0,0,0,0,-2,0
67,21,6,53,27,4,27,6,10,0,-2,0
68,20,9,51,29,4,29,7,9,0,-1,0
69,24,7,50,7,3,7,2,3,0,-2,0
70,0,0,47,0,2,0,0,0,0,-2,0
71,19,7,49,28,4,28,7,11,0,-1,0
72,0,0,54,0,2,0,0,0,0,-2,0
73,0,0,53,0,2,0,0,0,0,-2,0
74,0,0,44,0,2,0,0,0,0,-2,0
75,0,0,36,0,2,0,0,0,0,-2,0
76,13,10,36,31,4,31,7,10,0,0,0
77,0,0,37,0,2,0,0,0,0,-2,0
78,12,10,40,37,4,37,9,10,0,0,0
79,0,0,31,0,2,0,0,0,0,-2,0
80,0,0,35,0,2,0,0,0,0,-2,0
81,0,0,37,0,2,0,0,0,0,-2,0
82,0,0,40,0,2,0,0,0,0,-2,0
83,0,0,43,0,2,0,0,0,0,-2,0
84,0,0,50,0,2,0,0,0,0,-2,0
85,13,8,46,17,4,17,4,6,0,0,0
86,13,13,48,47,4,47,11,22,0,-1,0
87,0,0,44,0,2,0,0,0,0,-2,0
88,0,0,48,0,2,0,0,0,0,-2,0
89,0,0,46,0,2,0,0,0,0,-2,0
90,19,19,44,43,4,43,10,16,0,0,0
91,0,0,38,0,2,0,0,0,0,-2,0
92,0,0,37,0,2,0,0,0,0,-2,0
93,17,16,40,37,4,37,9,16,0,0,0
