Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,0,0,143,0,2,0,0,0,92,-2,0
2,0,0,148,0,2,0,0,0,92,-2,0
3,0,0,127,0,2,0,0,2,0,-1,0
4,0,0,143,0,2,0,0,2,92,0,2.17391
5,0,0,122,0,2,0,0,0,91,-2,0
6,0,0,128,0,2,0,0,2,99,-1,2.0202
7,0,0,155,0,2,0,0,2,96,-2,2.08333
8,0,0,156,0,2,0,0,2,98,-2,2.04082
9,0,0,151,0,2,0,0,2,98,-1,2.04082
10,0,0,138,0,2,0,0,2,94,-1,2.12766
11,0,0,140,0,2,0,0,2,96,0,2.08333
12,1,1,153,83,4,83,20,50,99,-1,50.5051
13,1,1,160,90,4,90,22,56,101,0,55.4455
14,0,0,155,0,2,0,0,0,117,-2,0
15,3,1,145,54,4,54,13,41,96,0,42.7083
16,0,0,165,0,2,0,0,8,105,4,7.61905
17,3,1,157,82,4,82,20,58,101,0,57.4257
18,3,1,157,90,4,90,22,61,101,-1,60.396
19,0,0,152,0,2,0,0,0,100,-2,0
20,0,0,151,0,2,0,0,2,96,-1,2.08333
21,3,2,117,73,4,73,18,49,96,-1,51.0417
22,0,0,149,0,2,0,0,2,101,-2,1.9802
23,0,0,153,0,2,0,0,2,96,0,2.08333
24,2,2,134,63,4,63,15,47,91,0,51.6484
25,0,0,144,0,2,0,0,7,93,4,7.52688
26,0,0,135,0,2,0,0,2,92,0,2.17391
27,0,0,143,0,2,0,0,2,92,-1,2.17391
28,0,0,128,0,2,0,0,0,95,-2,0
29,0,0,123,0,2,0,0,0,96,-2,0
30,0,0,131,0,2,0,0,2,92,-1,2.17391
31,0,0,122,0,2,0,0,0,91,-2,0
32,0,0,125,0,2,0,0,0,90,-2,0
33,0,0,149,0,2,0,0,2,87,-2,2.29885
34,3,3,120,5,3,5,1,1,90,4,1.11111
35,0,0,127,0,2,0,0,2,87,-1,2.29885
36,0,0,136,0,2,0,0,0,88,-2,0
37,0,0,111,0,2,0,0,0,88,-2,0
38,0,0,121,0,2,0,0,0,90,-2,0
39,0,0,139,0,2,0,0,0,90,-2,0
40,0,0,137,0,2,0,0,2,86,-1,2.32558
41,0,0,143,0,2,0,0,0,88,-2,0
42,0,0,146,0,2,0,0,0,87,-2,0
43,2,1,129,64,4,64,16,50,89,-2,56.1798
44,0,0,131,0,2,0,0,0,82,-2,0
45,0,0,87,0,2,0,0,0,87,-2,0
46,0,0,113,0,2,0,0,0,87,-2,0
47,2,1,88,34,4,34,8,29,87,-2,33.3333
48,0,0,82,0,2,0,0,2,92,0,2.17391
49,0,0,126,0,2,0,0,2,94,-2,2.12766
50,0,0,103,0,2,0,0,0,92,-2,0
51,0,0,63,0,2,0,0,0,91,-2,0
52,0,0,110,0,2,0,0,0,94,-2,0
53,0,0,119,0,2,0,0,0,95,-2,0
54,0,0,144,0,2,0,0,0,99,-2,0
55,0,0,95,0,2,0,0,0,100,-2,0
56,0,0,96,0,2,0,0,0,92,-2,0
57,0,0,127,0,2,0,0,2,94,0,2.12766
58,0,0,87,0,2,0,0,0,94,-2,0
59,0,0,83,0,2,0,0,0,94,-2,0
60,0,0,81,0,2,0,0,0,88,-2,0
61,0,0,88,0,2,0,0,0,91,-2,0
62,0,0,100,0,2,0,0,0,91,-2,0
63,0,0,80,0,2,0,0,0,91,-2,0
64,0,0,80,0,2,0,0,0,90,-2,0
65,0,0,98,0,2,0,0,0,84,-2,0
66,0,0,89,0,2,0,0,0,84,-2,0
67,0,0,80,0,2,0,0,0,90,-2,0
68,0,0,73,0,2,0,0,0,94,-2,0
69,0,0,117,0,2,0,0,0,93,-2,0
70,0,0,103,0,2,0,0,0,93,-2,0
71,0,0,65,0,2,0,0,0,95,-2,0
72,0,0,81,0,2,0,0,0,98,-2,0
73,0,0,109,0,2,0,0,0,99,-2,0
74,0,0,80,0,2,0,0,0,100,-2,0
75,0,0,77,0,2,0,0,0,97,-2,0
76,0,0,71,0,2,0,0,0,101,-2,0
77,0,0,78,0,2,0,0,0,103,-2,0
78,0,0,92,0,2,0,0,2,100,-2,2
79,0,0,94,0,2,0,0,2,106,-2,1.88679
80,0,0,85,0,2,0,0,0,111,-2,0
81,0,0,91,0,2,0,0,0,107,-2,0
82,0,0,77,0,2,0,0,0,111,-2,0
83,0,0,94,0,2,0,0,0,110,-2,0
84,0,0,78,0,2,0,0,0,110,-2,0
85,0,0,93,0,2,0,0,0,111,-2,0
86,0,0,85,0,2,0,0,0,110,-2,0
87,0,0,73,0,2,0,0,0,114,-2,0
88,0,0,99,0,2,0,0,0,114,-2,0
89,0,0,86,0,2,0,0,0,113,-2,0
90,0,0,72,0,2,0,0,0,114,-2,0
91,0,0,77,0,2,0,0,0,113,-2,0
92,0,0,77,0,2,0,0,0,114,-2,0
93,0,0,84,0,2,0,0,0,116,-2,0
94,0,0,113,0,2,0,0,6,116,4,5.17241
95,0,0,67,0,2,0,0,2,116,-2,1.72414
96,0,0,99,0,2,0,0,0,114,-2,0
97,0,0,107,0,2,0,0,0,115,-2,0
98,0,0,110,0,2,0,0,0,115,-2,0
99,0,0,86,0,2,0,0,0,115,-2,0
100,0,0,83,0,2,0,0,0,119,-2,0
101,0,0,85,0,2,0,0,0,114,-2,0
102,0,0,96,0,2,0,0,0,116,-2,0
103,0,0,97,0,2,0,0,0,121,-2,0
