Frame #,Cluster Sum, Cluster Avg., Box Est.
1,0,0,0,
2,0,0,0,
3,0,0,2,
4,0,0,2,
5,0,0,0,
6,0,0,0,
7,0,0,2,
8,0,0,0,
9,0,0,2,
10,0,0,2,
11,0,0,0,
12,0,0,2,
13,0,0,2,
14,0,0,2,
15,0,0,10,
16,76,19,56,11,65,
17,0,0,2,
18,0,0,2,
19,21,4,15,5,9,7,
20,0,0,11,
21,66,22,3,66,
22,81,27,5,81,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,53,13,36,42,11,
27,0,0,2,
28,0,0,9,
29,0,0,0,
30,62,15,41,52,10,
31,0,0,0,
32,29,7,25,8,21,
33,60,15,47,46,14,
34,0,0,2,
35,0,0,2,
36,0,0,0,
37,0,0,0,
38,0,0,0,
39,0,0,0,
40,9,3,9,9,
41,0,0,0,
42,0,0,0,
43,0,0,0,
44,0,0,0,
45,0,0,0,
46,0,0,0,
47,35,8,30,8,27,
48,34,8,26,8,26,
49,59,14,43,48,11,
50,0,0,0,
51,0,0,0,
52,0,0,0,
53,19,6,17,19,
54,0,0,0,
55,0,0,0,
56,0,0,0,
57,0,0,2,
58,0,0,0,
59,0,0,0,
60,0,0,0,
61,0,0,0,
62,0,0,0,
63,0,0,0,
64,0,0,0,
65,0,0,0,
66,0,0,0,
67,0,0,0,
68,0,0,2,
69,0,0,0,
70,0,0,0,
71,0,0,0,
72,0,0,0,
73,0,0,0,
74,0,0,0,
75,0,0,0,
76,0,0,0,
77,0,0,0,
78,0,0,0,
79,0,0,2,
80,35,11,31,35,
81,0,0,0,
82,0,0,0,
83,0,0,0,
84,0,0,0,
85,0,0,0,
86,0,0,0,
87,0,0,0,
88,0,0,0,
89,0,0,0,
90,0,0,0,
91,0,0,0,
92,0,0,0,
93,0,0,0,
94,0,0,0,
95,50,12,46,8,42,
96,7,2,7,7,
97,0,0,0,
98,0,0,0,
99,0,0,0,
100,0,0,0,
101,0,0,0,
102,0,0,0,
103,0,0,0,
