Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual
1,5,5,1392,221,12,221,18,148,318,4
2,5,5,1194,200,7,200,28,149,321,0
3,6,6,1183,242,14,242,17,162,321,4
4,7,7,1342,224,13,224,17,150,320,4
5,6,6,1411,411,57,411,7,199,308,4
6,8,8,1270,419,58,419,7,198,321,4
7,8,8,1303,371,46,371,8,197,318,4
8,7,7,1371,295,9,295,32,177,319,4
9,6,6,1272,253,12,253,21,155,323,4
10,5,5,1240,545,4,545,136,350,307,-1
11,4,4,1660,553,70,553,7,231,311,4
12,6,6,1281,560,4,560,140,307,312,-2
13,5,5,1226,312,44,312,7,173,310,4
14,9,9,1605,737,5,737,147,345,311,-1
15,6,6,1281,669,4,669,167,337,304,-1
16,6,6,1365,1057,4,1057,264,399,317,0
17,5,5,1273,746,4,746,186,384,310,-2
18,6,6,1335,202,19,202,10,132,308,4
19,7,7,1355,1146,9,1146,127,477,307,4
20,8,8,1326,1083,14,1083,77,465,301,4
21,5,5,1255,476,62,476,7,238,299,4
22,5,5,1120,226,10,226,22,162,304,4
23,7,7,1333,1197,8,1197,149,451,306,4
24,8,8,1322,476,60,476,7,217,306,4
25,5,5,1293,1204,4,1204,301,425,300,0
26,5,5,1287,269,13,269,20,170,303,4
27,4,4,1267,289,16,289,18,189,294,4
28,6,6,1300,926,4,926,231,424,300,-1
29,4,4,1225,503,5,503,100,265,297,-1
30,6,6,1266,465,56,465,8,220,298,4
31,7,7,1248,301,24,301,12,165,295,4
32,6,6,1207,240,15,240,16,151,302,4
33,4,4,1209,402,48,402,8,200,299,4
34,8,8,1649,348,18,348,19,190,298,4
35,6,6,1256,1202,4,1202,300,430,291,0
36,4,4,1256,605,4,605,151,250,296,0
37,6,6,1369,257,12,257,21,175,298,4
38,6,6,1326,1261,4,1261,315,441,296,0
39,8,8,1387,1280,8,1280,160,468,291,4
40,8,8,1291,254,12,254,21,171,287,4
41,8,8,1278,530,5,530,106,283,292,-1
42,8,8,1286,428,28,428,15,222,294,4
43,6,6,1230,477,53,477,9,213,285,4
44,6,6,1305,1212,4,1212,303,417,288,0
45,6,6,1314,323,15,323,21,190,291,4
46,8,8,1263,260,13,260,20,177,289,4
47,6,6,1255,281,19,281,14,168,285,4
48,5,5,1236,210,14,210,15,147,289,4
49,5,5,1259,368,28,368,13,200,289,4
50,5,5,1286,471,62,471,7,216,282,4
51,9,9,1509,1409,8,1409,176,460,283,4
52,7,7,1332,417,27,417,15,209,286,4
53,7,7,1304,550,66,550,8,227,283,4
54,6,6,1409,1225,8,1225,153,422,284,4
55,8,8,1335,891,4,891,222,398,286,-2
56,8,8,1373,434,25,434,17,211,283,4
57,7,7,1320,358,17,358,21,182,278,4
58,5,5,1396,895,4,895,223,398,277,-2
59,7,7,1363,1282,9,1282,142,444,279,4
60,8,8,1360,842,4,842,210,354,284,-2
61,7,7,1341,265,11,265,24,176,282,4
62,7,7,1399,1346,4,1346,336,434,280,0
63,8,8,1270,340,13,340,26,191,280,4
64,6,6,1283,287,12,287,23,178,278,4
65,6,6,1258,317,14,317,22,193,277,4
66,10,10,1451,329,13,329,25,191,279,4
67,4,4,1129,281,9,281,31,175,280,0
68,4,4,1175,664,4,664,166,292,280,-1
69,4,4,1153,1100,4,1100,275,335,281,0
70,6,6,1243,304,13,304,23,189,276,4
71,5,5,1175,312,11,312,28,195,277,4
72,5,5,1193,294,12,294,24,171,275,4
73,8,8,1520,1437,9,1437,159,441,272,4
74,6,6,1184,314,13,314,24,189,270,4
75,6,6,1269,400,29,400,13,193,270,4
76,4,4,1213,276,16,276,17,182,270,4
77,5,5,1138,312,17,312,18,187,267,4
78,4,4,1210,339,13,339,26,215,271,4
