Frame #,Box Est.,Actual, Accuracy,,,
2,123,321,38.3178,,,
3,306,321,95.3271,,,Column 1
4,334,320,104.375,,Mean,60.706051948052
5,140,308,45.4545,,Standard Error,3.38217025119186
6,135,321,42.0561,,Mode,#VALUE!
7,147,318,46.2264,,Median,51.9856
8,168,319,52.6646,,First Quartile ,45.1178
9,140,323,43.3437,,Third Quartile,95.3271
10,92,307,29.9674,,Variance,880.808821819635
11,56,311,18.0064,,Standard Deviation,29.6784235063056
12,79,312,25.3205,,Kurtosis,-0.868307240024124
13,50,310,16.129,,Skewness,0.619280232487901
14,54,311,17.3633,,Range,98.1203
15,114,304,37.5,,Minimum,15.2597
16,78,317,24.6057,,Maximum,113.38
17,65,310,20.9677,,Sum,4674.366
18,47,308,15.2597,,Count,77
19,327,307,106.515,,,
20,74,301,24.5847,,,
21,82,299,27.4247,,,
22,178,304,58.5526,,,
23,145,306,47.3856,,,
24,327,306,106.863,,,
25,103,300,34.3333,,,
26,316,303,104.29,,,
27,99,294,33.6735,,,
28,146,300,48.6667,,,
29,134,297,45.1178,,,
30,312,298,104.698,,,
31,306,295,103.729,,,
32,302,302,100,,,
33,301,299,100.669,,,
34,136,298,45.6376,,,
35,94,291,32.3024,,,
36,157,296,53.0405,,,
37,166,298,55.7047,,,
38,100,296,33.7838,,,
39,322,291,110.653,,,
40,317,287,110.453,,,
41,144,292,49.3151,,,
42,144,294,48.9796,,,
43,156,285,54.7368,,,
44,141,288,48.9583,,,
45,182,291,62.543,,,
46,170,289,58.8235,,,
47,147,285,51.5789,,,
48,160,289,55.3633,,,
49,154,289,53.2872,,,
50,142,282,50.3546,,,
51,133,283,46.9965,,,
52,184,286,64.3357,,,
53,311,283,109.894,,,
54,322,284,113.38,,,
55,309,286,108.042,,,
56,316,283,111.661,,,
57,150,278,53.9568,,,
58,144,277,51.9856,,,
59,177,279,63.4409,,,
60,156,284,54.9296,,,
61,169,282,59.9291,,,
62,136,280,48.5714,,,
63,305,280,108.929,,,
64,308,278,110.791,,,
65,300,277,108.303,,,
66,148,279,53.0466,,,
67,133,280,47.5,,,
68,298,280,106.429,,,
69,160,281,56.9395,,,
70,146,276,52.8986,,,
71,133,277,48.0144,,,
72,154,275,56,,,
73,139,272,51.1029,,,
74,140,270,51.8519,,,
75,81,270,30,,,
76,138,270,51.1111,,,
77,136,267,50.9363,,,
78,294,271,108.487,,,
