Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy,,,
3,16,16,3122,3070,3,3070,1023,562,321,0,175.078,,,
4,14,14,3096,2927,3,2927,975,558,320,0,174.375,,,Column 1
19,15,14,3058,2921,3,2921,973,566,307,0,184.365,,Mean,187.691545454546
24,18,16,3046,2930,3,2930,976,569,306,0,185.948,,Standard Error,1.85721237916674
26,12,12,3019,2938,3,2938,979,542,303,0,178.878,,Mode,#VALUE!
30,13,13,3034,2949,3,2949,983,540,298,0,181.208,,Median,190.294
31,13,13,3054,2996,3,2996,998,528,295,0,178.983,,First Quartile ,179.53925
32,13,13,3054,2997,3,2997,999,527,302,0,174.503,,Third Quartile,193.43725
33,13,12,3019,2933,3,2933,977,529,299,0,176.923,,Variance,75.883232069264
35,13,13,3057,3056,4,3056,764,539,291,0,185.223,,Standard Deviation,8.71109821258285
39,17,15,3065,2912,3,2912,970,554,291,0,190.378,,Kurtosis,-1.0591351871667
40,16,16,2983,2908,4,2908,727,551,287,0,191.986,,Skewness,-0.088876851158593
53,16,16,3003,2834,4,2834,708,541,283,-1,191.166,,Range,28.152
54,14,14,2963,2765,3,2765,921,567,284,0,199.648,,Minimum,174.375
55,14,14,2959,2870,3,2870,956,544,286,0,190.21,,Maximum,202.527
56,14,14,2959,2870,3,2870,956,544,283,0,192.226,,Sum,4129.214
63,17,17,2964,2931,3,2931,977,544,280,0,194.286,,Count,22
64,16,16,2956,2921,3,2921,973,532,278,0,191.367,,,
65,18,18,2971,2936,3,2936,978,561,277,0,202.527,,,
68,16,16,2891,2814,3,2814,938,547,280,0,195.357,,,
70,13,13,2885,2849,3,2849,949,535,276,0,193.841,,,
78,14,14,2601,2583,3,2583,861,544,271,0,200.738,,,
