Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual
2,5,5,1194,244,3,244,81,105,321,0
3,6,6,1183,274,5,274,54,113,321,4
4,7,7,1342,246,5,246,49,112,320,4
5,6,6,1411,236,6,236,39,97,308,4
6,8,8,1270,292,6,278,46,111,321,4
7,8,8,1303,204,6,204,34,88,318,4
8,7,7,1371,352,5,352,70,138,319,4
9,6,6,1272,88,4,88,22,39,323,4
10,5,5,1240,1036,3,690,230,347,307,-1
11,3,3,1295,64,3,64,21,32,311,4
12,6,6,1281,1120,4,856,214,307,312,-2
13,5,5,1226,26,4,26,6,12,310,4
14,5,5,1192,1164,4,793,198,326,311,-2
15,6,6,1281,1338,4,917,229,337,304,-1
16,6,6,1365,2100,3,1260,420,397,317,0
17,5,5,1273,82,3,82,27,41,310,4
18,6,6,1335,34,3,34,11,17,308,4
19,7,7,1355,2234,3,1276,425,474,307,4
20,8,8,1326,2090,3,1175,391,461,301,4
21,5,5,1255,156,4,156,39,74,299,4
22,5,5,1120,68,3,68,22,34,304,4
23,7,7,1333,2334,3,1333,444,449,306,4
24,8,8,1322,268,4,268,67,120,306,4
25,5,5,1293,2384,3,1430,476,424,300,0
26,5,5,1287,82,3,82,27,41,303,4
27,4,4,1267,152,4,152,38,70,294,4
28,6,6,1300,1836,3,1071,357,424,300,-1
29,4,4,1225,990,4,990,247,263,297,-1
30,6,6,1266,194,6,194,32,81,298,4
31,7,7,1248,342,7,338,48,124,295,4
32,6,6,1207,280,6,280,46,110,302,4
33,4,4,1209,104,4,104,26,50,299,4
34,5,5,1278,138,6,138,23,60,298,4
35,6,6,1256,2384,3,1390,463,430,291,0
36,4,4,1256,1210,4,1210,302,250,296,0
37,6,6,1369,258,5,258,51,112,298,4
38,6,6,1326,2506,3,1461,487,441,296,0
39,8,8,1387,2510,3,1434,478,467,291,4
40,8,8,1291,316,6,316,52,133,287,4
41,8,8,1278,1042,4,718,179,283,292,-1
42,8,8,1286,420,6,420,70,157,294,4
43,6,6,1230,96,6,96,16,36,285,4
44,6,6,1305,2410,3,1446,482,417,288,0
45,6,6,1314,342,6,342,57,133,291,4
46,8,8,1263,332,6,332,55,132,289,4
47,6,6,1255,320,6,320,53,124,285,4
48,5,5,1236,198,5,198,39,91,289,4
49,5,5,1259,260,5,260,52,106,289,4
50,5,5,1286,156,5,156,31,68,282,4
51,8,8,1292,332,7,316,45,110,283,4
52,7,7,1335,422,6,422,70,145,286,4
53,7,7,1304,220,7,208,29,77,283,4
54,6,6,1409,2414,3,1408,469,420,284,4
55,8,8,1335,1768,3,994,331,395,286,-2
56,8,8,1373,468,6,458,76,171,283,4
57,7,7,1320,252,6,237,39,83,278,4
58,5,5,1396,1774,3,1064,354,398,277,-2
59,7,7,1363,2520,3,1440,480,444,279,4
60,8,8,1360,1668,3,973,324,353,284,-2
61,7,7,1341,174,5,174,34,77,282,4
62,7,7,1399,2678,3,1530,510,433,280,0
63,8,8,1270,442,7,431,61,142,280,4
64,6,6,1283,328,6,328,54,128,278,4
65,6,6,1258,376,5,312,62,144,277,4
66,5,5,1209,364,5,302,60,141,279,4
67,4,4,1129,410,5,410,82,142,280,0
68,4,4,1175,1314,3,821,273,291,280,-1
69,4,4,1153,2184,3,1365,455,335,281,0
70,6,6,1243,342,6,342,57,135,276,4
71,5,5,1175,354,5,354,70,136,277,4
72,5,5,1193,298,5,298,59,115,275,4
73,4,4,1191,88,3,88,29,44,272,4
74,6,6,1184,312,5,312,62,119,270,4
75,6,6,1269,338,6,338,56,124,270,4
76,4,4,1213,130,5,130,26,60,270,4
77,5,5,1138,334,6,334,55,123,267,4
78,4,4,1210,138,4,138,34,67,271,4
