Frame #,Box Est.,Actual, Accuracy
1,18,12,150
2,15,10,150
3,15,10,150
4,14,9,155.556
5,15,9,166.667
6,14,9,155.556
7,12,11,109.091
8,12,11,109.091
9,18,9,200
10,14,9,155.556
11,14,9,155.556
12,13,10,130
13,17,9,188.889
14,22,12,183.333
15,23,12,191.667
16,23,11,209.091
17,16,10,160
18,19,12,158.333
19,12,10,120
20,20,11,181.818
21,17,17,100
22,20,10,200
23,18,11,163.636
24,19,11,172.727
25,21,12,175
26,15,12,125
27,19,13,146.154
28,16,13,123.077
29,15,13,115.385
30,17,14,121.429
31,21,13,161.538
32,22,13,169.231
33,20,13,153.846
34,21,13,161.538
35,20,13,153.846
36,23,13,176.923
37,20,14,142.857
38,23,13,176.923
39,19,13,146.154
40,15,13,115.385
41,15,13,115.385
42,17,13,130.769
43,18,13,138.462
44,23,13,176.923
45,23,13,176.923
46,20,13,153.846
47,18,14,128.571
48,17,14,121.429
49,21,14,150
50,19,14,135.714
51,20,14,142.857
52,20,14,142.857
53,17,13,130.769
54,26,13,200
55,19,13,146.154
56,24,14,171.429
57,21,13,161.538
58,21,14,150
59,22,14,157.143
60,26,17,152.941
61,28,16,175
62,28,16,175
63,35,17,205.882
64,23,17,135.294
65,31,17,182.353
66,26,17,152.941
67,26,17,152.941
68,25,18,138.889
69,27,17,158.824
70,28,18,155.556
71,25,18,138.889
72,26,17,152.941
73,29,17,170.588
74,29,17,170.588
75,30,18,166.667
76,25,18,138.889
77,24,18,133.333
78,24,18,133.333
79,37,17,217.647
80,29,17,170.588
81,21,16,131.25
82,22,16,137.5
83,24,16,150
84,22,16,137.5
85,21,16,131.25
86,25,16,156.25
87,23,16,143.75
88,20,16,125
89,25,16,156.25
90,21,16,131.25
91,20,16,125
92,19,16,118.75
93,23,16,143.75
94,33,16,206.25
95,35,16,218.75
96,34,16,212.5
97,30,16,187.5
98,21,17,123.529
99,27,16,168.75
100,22,16,137.5
101,21,16,131.25
102,28,16,175
103,39,16,243.75
104,38,19,200
105,33,17,194.118
106,26,17,152.941
107,30,18,166.667
108,30,24,125
109,35,19,184.211
110,27,19,142.105
111,29,19,152.632
112,31,19,163.158
113,29,18,161.111
114,36,17,211.765
115,35,17,205.882
116,26,16,162.5
117,26,16,162.5
118,30,17,176.471
119,23,17,135.294
120,23,17,135.294
121,17,17,100
