Frame #,Sample Size,Selected Sample,Feature Size, Selected Features, # Clusters,Cluster Sum, Cluster Avg., Box Est.,Actual, Validity, Accuracy
1,10,10,93,93,4,93,23,41,12,-2,341.667
2,22,21,156,139,5,139,27,55,10,0,550
3,19,13,164,112,19,112,5,18,10,4,180
4,14,14,116,116,4,116,29,43,9,0,477.778
5,15,15,117,117,4,117,29,51,9,-1,566.667
6,14,14,103,103,4,103,25,47,9,-2,522.222
7,17,17,116,116,4,116,29,47,11,-1,427.273
8,18,18,117,114,4,114,28,50,11,-1,454.545
9,16,16,107,104,4,104,26,47,9,-1,522.222
10,16,16,111,102,4,102,25,47,9,0,522.222
11,17,15,116,91,12,91,7,38,9,4,422.222
12,16,16,130,122,4,122,30,51,10,-1,510
13,18,18,128,126,4,126,31,48,9,-1,533.333
14,18,16,124,97,11,97,8,34,12,4,283.333
15,19,19,134,134,4,134,33,48,12,-1,400
16,16,16,130,130,4,130,32,47,11,-1,427.273
17,19,18,130,117,4,117,29,44,10,-1,440
18,16,16,131,128,4,128,32,46,12,-1,383.333
19,18,18,123,108,11,108,9,33,10,4,330
20,16,16,112,112,4,112,28,42,11,-1,381.818
21,14,14,122,121,4,121,30,47,17,-2,276.471
22,15,14,134,114,11,114,10,39,10,4,390
23,16,16,137,135,4,135,33,50,11,-1,454.545
24,16,16,137,135,4,135,33,50,11,-1,454.545
25,15,15,135,134,4,134,33,52,12,-1,433.333
26,16,12,142,101,5,101,20,43,12,-2,358.333
27,14,12,158,135,12,135,11,46,13,4,353.846
28,16,15,154,140,5,140,28,47,13,-2,361.538
29,16,15,156,150,4,150,37,53,13,-1,407.692
30,17,16,157,152,4,152,38,56,14,-2,400
31,15,15,143,143,4,143,35,52,13,-1,400
32,12,12,151,134,4,134,33,57,13,-2,438.462
33,17,9,165,99,6,99,16,40,13,-1,307.692
34,18,10,168,107,6,107,17,41,13,0,315.385
35,15,14,156,133,4,133,33,49,13,-1,376.923
36,17,17,161,161,4,161,40,59,13,-1,453.846
37,17,13,172,104,5,104,20,46,14,-1,328.571
38,16,15,163,148,4,148,37,57,13,-2,438.462
39,15,11,167,134,10,134,13,49,13,4,376.923
40,17,13,165,113,16,113,7,26,13,4,200
41,17,12,165,112,22,112,5,22,13,4,169.231
42,17,12,156,121,11,121,11,41,13,4,315.385
43,16,16,165,158,4,158,39,55,13,-2,423.077
44,14,14,163,162,4,162,40,58,13,-2,446.154
45,17,17,166,164,4,164,41,55,13,-1,423.077
46,16,16,171,169,4,169,42,59,13,-1,453.846
47,17,17,164,154,4,154,38,60,14,-2,428.571
48,17,10,169,102,4,102,25,44,14,-1,314.286
49,16,16,172,171,4,171,42,58,14,-2,414.286
50,17,16,173,167,4,167,41,62,14,-2,442.857
51,15,15,179,162,12,162,13,54,14,4,385.714
52,17,17,176,174,4,174,43,65,14,-2,464.286
53,17,17,176,174,4,174,43,64,13,-2,492.308
54,17,17,187,182,4,182,45,64,13,-2,492.308
55,9,9,163,150,4,150,37,57,13,0,438.462
56,17,16,243,220,13,220,16,76,14,4,542.857
57,15,12,248,161,8,161,20,49,13,0,376.923
58,15,9,247,140,12,140,11,31,14,0,221.429
59,10,10,157,141,9,141,15,60,14,4,428.571
60,13,12,166,160,4,160,40,60,17,-2,352.941
61,15,13,244,152,8,152,19,51,16,0,318.75
62,13,12,171,136,11,136,12,51,16,4,318.75
63,17,17,181,174,4,174,43,73,17,-1,429.412
64,12,8,177,101,6,101,16,35,17,0,205.882
65,11,9,275,172,8,172,21,46,17,0,270.588
66,13,10,268,169,7,169,24,61,17,0,358.824
67,8,8,172,152,6,152,25,56,17,0,329.412
68,13,13,187,169,4,169,42,66,18,-2,366.667
69,14,11,259,186,22,186,8,40,17,4,235.294
70,12,10,275,194,25,194,7,43,18,4,238.889
71,9,5,174,103,18,103,5,27,18,4,150
72,12,12,273,238,4,238,59,69,17,-1,405.882
73,12,12,269,228,4,228,57,72,17,-1,423.529
74,15,13,280,194,5,194,38,67,17,0,394.118
75,12,10,285,189,31,189,6,39,18,4,216.667
76,17,11,297,145,7,145,20,39,18,-1,216.667
77,17,15,296,204,5,204,40,68,18,0,377.778
78,17,7,302,153,19,153,8,24,18,4,133.333
79,13,12,301,162,6,162,27,49,17,-1,288.235
80,13,10,293,188,26,188,7,35,17,4,205.882
81,13,9,295,192,26,192,7,24,16,4,150
82,13,8,296,169,7,169,24,55,16,-1,343.75
83,12,9,290,171,31,171,5,43,16,4,268.75
84,11,11,285,172,25,172,6,28,16,4,175
85,16,14,278,189,27,189,7,36,16,4,225
86,15,11,288,184,29,184,6,30,16,4,187.5
87,10,7,272,167,27,167,6,28,16,4,175
88,13,11,285,181,28,181,6,33,16,4,206.25
89,11,6,298,164,6,164,27,61,16,-1,381.25
90,16,13,296,181,25,181,7,30,16,4,187.5
91,15,11,307,194,14,194,13,40,16,4,250
92,14,6,290,147,18,147,8,17,16,4,106.25
93,16,7,276,100,8,100,12,30,16,0,187.5
94,10,7,292,165,6,165,27,45,16,0,281.25
95,10,10,288,288,4,288,72,76,16,-1,475
96,10,5,287,152,15,152,10,33,16,4,206.25
97,8,6,270,180,26,180,6,31,16,4,193.75
98,11,7,279,171,23,171,7,34,17,4,200
99,9,8,262,163,7,163,23,46,16,0,287.5
