Frame #,Count
1,92
2,92
3,91
4,90
5,90
6,91
7,91
8,91
9,92
10,92
11,92
12,93
13,93
14,94
15,94
16,94
17,94
18,93
19,93
20,93
21,93
22,94
23,93
24,92
25,92
26,92
27,92
28,92
29,92
30,91
31,91
32,89
33,89
34,89
35,88
36,88
37,87
38,86
39,86
40,85
41,85
42,84
43,84
44,84
45,84
46,84
47,84
48,84
49,85
50,85
51,86
52,86
53,87
54,88
55,90
56,90
57,90
58,90
59,90
60,89
61,89
62,88
63,88
64,87
65,85
66,85
67,84
68,85
69,85
70,86
71,87
72,87
73,87
74,88
75,90
76,91
77,92
78,93
79,94
80,95
81,96
82,98
83,98
84,99
85,100
86,101
87,102
88,103
89,104
90,104
91,105
92,105
93,106
94,106
95,106
96,106
97,106
98,105
99,105
100,105
101,105
102,105
103,105
