Frame #,Count
1,722
2,710
3,706
4,704
5,702
6,702
7,701
8,701
9,700
10,700
11,698
12,698
13,698
14,698
15,698
16,698
17,698
18,698
19,698
20,698
21,698
22,698
23,698
24,698
25,698
26,698
27,698
28,698
29,698
30,698
31,698
32,698
33,698
34,698
35,698
36,698
37,698
38,698
39,698
40,698
41,698
42,698
43,698
44,698
45,698
46,698
47,698
48,698
49,698
50,698
51,698
52,698
53,698
54,698
55,698
56,698
57,698
58,698
59,698
60,698
61,698
62,698
63,698
64,698
65,698
66,698
67,698
68,698
69,698
70,698
71,698
72,698
73,698
